algo,linkage,eps,clusters,min_samples,num_clusters,silhouette_score,min_cluster_size,num_representative_clusters,silhouette_score_representative_clusters
K-means,,,"[{'avg_silhouette': 0.8510126189751142, 'num_points': 358}, {'avg_silhouette': 0.7778602194451708, 'num_points': 791}, {'avg_silhouette': 0.9496851101785445, 'num_points': 6712}, {'avg_silhouette': 0.973815857337733, 'num_points': 13858}, {'avg_silhouette': 0.2103906006224603, 'num_points': 129}, {'avg_silhouette': 0.5046212171322175, 'num_points': 285}, {'avg_silhouette': -0.029020867485737074, 'num_points': 28}, {'avg_silhouette': -0.18833864929567481, 'num_points': 12}, {'avg_silhouette': 0.7593845176728848, 'num_points': 77}, {'avg_silhouette': 0.3406416413798236, 'num_points': 66}, {'avg_silhouette': -0.13059546223427615, 'num_points': 7}, {'avg_silhouette': 0.5715010035569255, 'num_points': 319}, {'avg_silhouette': 0.2275725736473417, 'num_points': 152}, {'avg_silhouette': 0.23665385932300018, 'num_points': 155}, {'avg_silhouette': 0.28358028930190304, 'num_points': 108}, {'avg_silhouette': 0.6953870385206342, 'num_points': 796}, {'avg_silhouette': 0.5559202688707997, 'num_points': 335}, {'avg_silhouette': -0.09305074954183498, 'num_points': 28}, {'avg_silhouette': 0.983180626923076, 'num_points': 44}, {'avg_silhouette': 0.27940387824670376, 'num_points': 14}, {'avg_silhouette': -0.03485359400766301, 'num_points': 47}, {'avg_silhouette': 0.1635408250259566, 'num_points': 29}, {'avg_silhouette': 0.2557327054047937, 'num_points': 30}, {'avg_silhouette': 0.6503112452608533, 'num_points': 25}, {'avg_silhouette': -0.025634972742134516, 'num_points': 30}, {'avg_silhouette': 0.3305715323791835, 'num_points': 23}, {'avg_silhouette': 0.23263043018637397, 'num_points': 205}, {'avg_silhouette': 0.08738870049924756, 'num_points': 30}, {'avg_silhouette': 0.11053492282620693, 'num_points': 13}, {'avg_silhouette': 0.020225417332211094, 'num_points': 4}, {'avg_silhouette': 0.4322788311994517, 'num_points': 82}, {'avg_silhouette': -0.008870372920745146, 'num_points': 26}, {'avg_silhouette': 0.23716490289718184, 'num_points': 28}, {'avg_silhouette': 0.1417765661343842, 'num_points': 20}, {'avg_silhouette': 0.4470405915701373, 'num_points': 135}, {'avg_silhouette': 0.059840177341150345, 'num_points': 40}, {'avg_silhouette': 0.39625287491373046, 'num_points': 211}, {'avg_silhouette': 0.03275274798447221, 'num_points': 2}, {'avg_silhouette': 0.6588902833001592, 'num_points': 15}, {'avg_silhouette': 0.6500238016996294, 'num_points': 8}, {'avg_silhouette': 0.02928361840329202, 'num_points': 21}, {'avg_silhouette': 0.26036694628033674, 'num_points': 13}, {'avg_silhouette': 0.4006693231093971, 'num_points': 30}, {'avg_silhouette': 0.0290738267471805, 'num_points': 19}]",,44,0.8838447091491648,,2,0.9617504837581388
AGGLC,ward,,"[{'avg_silhouette': 0.9492613771271806, 'num_points': 6713}, {'avg_silhouette': -0.13243420902992722, 'num_points': 74}, {'avg_silhouette': -0.19247098233986604, 'num_points': 36}, {'avg_silhouette': -0.1344079335782464, 'num_points': 45}, {'avg_silhouette': 0.17924059318671393, 'num_points': 251}, {'avg_silhouette': -0.07244561423791582, 'num_points': 79}, {'avg_silhouette': 0.6282770628647042, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': 0.8563671376603108, 'num_points': 358}, {'avg_silhouette': 0.9732988112029917, 'num_points': 13853}, {'avg_silhouette': 0.3494375349689287, 'num_points': 210}, {'avg_silhouette': 0.2704776785323414, 'num_points': 237}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': -0.06135197074313039, 'num_points': 11}, {'avg_silhouette': 0.7594019198799568, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.035810435827417594, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.0321469867635821, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}, {'avg_silhouette': 0.6603784573295609, 'num_points': 15}, {'avg_silhouette': 0.47191807129354163, 'num_points': 133}, {'avg_silhouette': 0.3161579323067144, 'num_points': 12}, {'avg_silhouette': 0.4912239909380919, 'num_points': 11}, {'avg_silhouette': 0.2173889840458822, 'num_points': 32}, {'avg_silhouette': 0.10450950327390644, 'num_points': 41}, {'avg_silhouette': -0.13222740230901353, 'num_points': 37}]",,32,0.8829361267260403,,2,0.9612800941650861
AGGLC,ward,,"[{'avg_silhouette': -0.25995814593485117, 'num_points': 82}, {'avg_silhouette': 0.9492613771271806, 'num_points': 6713}, {'avg_silhouette': -0.19247098233986604, 'num_points': 36}, {'avg_silhouette': -0.13243420902992722, 'num_points': 74}, {'avg_silhouette': 0.17985120797179144, 'num_points': 251}, {'avg_silhouette': -0.07149610771589297, 'num_points': 79}, {'avg_silhouette': 0.6282770628647042, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': 0.8563671376603108, 'num_points': 358}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.3495449431871422, 'num_points': 210}, {'avg_silhouette': 0.2704776785323414, 'num_points': 237}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': -0.06135197074313039, 'num_points': 11}, {'avg_silhouette': 0.7594019198799568, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03606927815220219, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.0321469867635821, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}, {'avg_silhouette': 0.6603784573295609, 'num_points': 15}, {'avg_silhouette': 0.47191807129354163, 'num_points': 133}, {'avg_silhouette': 0.3161579323067144, 'num_points': 12}, {'avg_silhouette': 0.4912239909380919, 'num_points': 11}, {'avg_silhouette': 0.21741843740549002, 'num_points': 32}, {'avg_silhouette': 0.10450950327390644, 'num_points': 41}]",,31,0.8825371675164336,,2,0.9612801202758132
AGGLC,ward,,"[{'avg_silhouette': -0.15209974644887275, 'num_points': 90}, {'avg_silhouette': 0.9492613771271806, 'num_points': 6713}, {'avg_silhouette': -0.25995814593485117, 'num_points': 82}, {'avg_silhouette': -0.13243420902992722, 'num_points': 74}, {'avg_silhouette': 0.17996351606799485, 'num_points': 251}, {'avg_silhouette': -0.19247098233986604, 'num_points': 36}, {'avg_silhouette': 0.6282770628647042, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': 0.8563671376603108, 'num_points': 358}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.3495449431871422, 'num_points': 210}, {'avg_silhouette': 0.2704776785323414, 'num_points': 237}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': 0.10450950327390644, 'num_points': 41}, {'avg_silhouette': 0.7594019198799568, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03692118664715244, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.03138125582374053, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}, {'avg_silhouette': 0.6603784573295609, 'num_points': 15}, {'avg_silhouette': 0.47191807129354163, 'num_points': 133}, {'avg_silhouette': 0.3161579323067144, 'num_points': 12}, {'avg_silhouette': 0.4912239909380919, 'num_points': 11}, {'avg_silhouette': 0.21864330231887202, 'num_points': 32}]",,30,0.8822511061254481,,2,0.9612801202758132
AGGLC,ward,,"[{'avg_silhouette': -0.2976040064678288, 'num_points': 123}, {'avg_silhouette': 0.9492613771271806, 'num_points': 6713}, {'avg_silhouette': -0.1520218875087121, 'num_points': 90}, {'avg_silhouette': -0.13243420902992722, 'num_points': 74}, {'avg_silhouette': 0.18000356583081906, 'num_points': 251}, {'avg_silhouette': -0.19247098233986604, 'num_points': 36}, {'avg_silhouette': 0.6282770628647042, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': 0.8563671376603108, 'num_points': 358}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.34975172387009534, 'num_points': 210}, {'avg_silhouette': 0.2705947846453798, 'num_points': 237}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': 0.21864330231887202, 'num_points': 32}, {'avg_silhouette': 0.7594019198799568, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03692118664715244, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.03138125582374053, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}, {'avg_silhouette': 0.6603784573295609, 'num_points': 15}, {'avg_silhouette': 0.47195129347926096, 'num_points': 133}, {'avg_silhouette': 0.3161579323067144, 'num_points': 12}, {'avg_silhouette': 0.4912239909380919, 'num_points': 11}]",,29,0.8814829295471707,,2,0.9612801202758132
AGGLC,ward,,"[{'avg_silhouette': -0.1767173343532538, 'num_points': 101}, {'avg_silhouette': 0.9492613771271806, 'num_points': 6713}, {'avg_silhouette': -0.2976040064678288, 'num_points': 123}, {'avg_silhouette': -0.13025605792837702, 'num_points': 74}, {'avg_silhouette': 0.18004646689717857, 'num_points': 251}, {'avg_silhouette': -0.19247098233986604, 'num_points': 36}, {'avg_silhouette': 0.6282770628647042, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': 0.8563671376603108, 'num_points': 358}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.34975172387009534, 'num_points': 210}, {'avg_silhouette': 0.2705947846453798, 'num_points': 237}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': 0.2192077072001396, 'num_points': 32}, {'avg_silhouette': 0.7594019198799568, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03692118664715244, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.020070892215029727, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}, {'avg_silhouette': 0.6603784573295609, 'num_points': 15}, {'avg_silhouette': 0.47195129347926096, 'num_points': 133}, {'avg_silhouette': 0.3161579323067144, 'num_points': 12}]",,28,0.8811277761366912,,2,0.9612801202758132
AGGLC,ward,,"[{'avg_silhouette': -0.2441021853044449, 'num_points': 48}, {'avg_silhouette': 0.9492613771271806, 'num_points': 6713}, {'avg_silhouette': -0.1767173343532538, 'num_points': 101}, {'avg_silhouette': -0.13025605792837702, 'num_points': 74}, {'avg_silhouette': 0.18004646689717857, 'num_points': 251}, {'avg_silhouette': -0.2976040064678288, 'num_points': 123}, {'avg_silhouette': 0.6282770628647042, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': 0.8563671376603108, 'num_points': 358}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.34975172387009534, 'num_points': 210}, {'avg_silhouette': 0.2705947846453798, 'num_points': 237}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': 0.22407905408483814, 'num_points': 32}, {'avg_silhouette': 0.7594019198799568, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03692118664715244, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.020070892215029727, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}, {'avg_silhouette': 0.6603784573295609, 'num_points': 15}, {'avg_silhouette': 0.47195129347926096, 'num_points': 133}]",,27,0.8807955221296824,,2,0.9612801202758132
AGGLC,ward,,"[{'avg_silhouette': -0.33495844462430013, 'num_points': 171}, {'avg_silhouette': 0.9492613771271806, 'num_points': 6713}, {'avg_silhouette': -0.1767173343532538, 'num_points': 101}, {'avg_silhouette': -0.13025605792837702, 'num_points': 74}, {'avg_silhouette': 0.18004646689717857, 'num_points': 251}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6282770628647042, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': 0.8563671376603108, 'num_points': 358}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.34975172387009534, 'num_points': 210}, {'avg_silhouette': 0.2705947846453798, 'num_points': 237}, {'avg_silhouette': 0.47195129347926096, 'num_points': 133}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': 0.22407905408483814, 'num_points': 32}, {'avg_silhouette': 0.7594019198799568, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03692118664715244, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.020070892215029727, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}, {'avg_silhouette': 0.6603784573295609, 'num_points': 15}]",,26,0.8804423795295009,,2,0.9612801202758132
AGGLC,ward,,"[{'avg_silhouette': 0.7696968248625771, 'num_points': 373}, {'avg_silhouette': -0.33495844462430013, 'num_points': 171}, {'avg_silhouette': -0.1767173343532538, 'num_points': 101}, {'avg_silhouette': 0.9492625773631521, 'num_points': 6713}, {'avg_silhouette': 0.18004646689717857, 'num_points': 251}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6401644595429541, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': -0.13025605792837702, 'num_points': 74}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.34975172387009534, 'num_points': 210}, {'avg_silhouette': 0.2705947846453798, 'num_points': 237}, {'avg_silhouette': 0.47195129347926096, 'num_points': 133}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': 0.22407905408483814, 'num_points': 32}, {'avg_silhouette': 0.7599995279586164, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03692118664715244, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.020070892215029727, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}, {'avg_silhouette': 0.05719968228098116, 'num_points': 18}]",,25,0.8795758249191452,,2,0.961280720393799
AGGLC,ward,,"[{'avg_silhouette': -0.21855590276994127, 'num_points': 119}, {'avg_silhouette': -0.33495844462430013, 'num_points': 171}, {'avg_silhouette': 0.7696968248625771, 'num_points': 373}, {'avg_silhouette': 0.9492741272333746, 'num_points': 6713}, {'avg_silhouette': 0.1800699001173226, 'num_points': 251}, {'avg_silhouette': 0.5764220479801263, 'num_points': 316}, {'avg_silhouette': 0.6401644595429541, 'num_points': 619}, {'avg_silhouette': -0.10068369453184403, 'num_points': 60}, {'avg_silhouette': -0.13025605792837702, 'num_points': 74}, {'avg_silhouette': 0.9732988634244458, 'num_points': 13853}, {'avg_silhouette': 0.34975172387009534, 'num_points': 210}, {'avg_silhouette': 0.2705947846453798, 'num_points': 237}, {'avg_silhouette': 0.47195129347926096, 'num_points': 133}, {'avg_silhouette': 0.6503181670715487, 'num_points': 809}, {'avg_silhouette': 0.22416799803130028, 'num_points': 32}, {'avg_silhouette': 0.7599995279586164, 'num_points': 77}, {'avg_silhouette': 0.8216362573222389, 'num_points': 776}, {'avg_silhouette': 0.4487420636837165, 'num_points': 203}, {'avg_silhouette': 0.03692118664715244, 'num_points': 22}, {'avg_silhouette': 0.35936330326616406, 'num_points': 23}, {'avg_silhouette': -0.020070892215029727, 'num_points': 33}, {'avg_silhouette': 0.28547293168061394, 'num_points': 191}, {'avg_silhouette': 0.12284583971389554, 'num_points': 21}, {'avg_silhouette': 0.9831833795942018, 'num_points': 44}]",,24,0.8792168724854837,,2,0.9612864953289102
