algo,linkage,eps,clusters,min_samples,num_clusters,silhouette_score,min_cluster_size,num_representative_clusters,silhouette_score_representative_clusters
AGGLC,ward,,"[{'avg_silhouette': 0.05852965762234405, 'num_points': 27}, {'avg_silhouette': 0.6404849352113676, 'num_points': 208}]",,2,0.5736219884245436,,2,0.34950729641685585
K-means,,,"[{'avg_silhouette': 0.6464455889237067, 'num_points': 204}, {'avg_silhouette': 0.032893057120422925, 'num_points': 31}]",,2,0.5655088719624225,,2,0.3396693230220648
AGGLC,ward,,"[{'avg_silhouette': 0.6043368225344776, 'num_points': 208}, {'avg_silhouette': 0.13877840197529182, 'num_points': 13}, {'avg_silhouette': 0.11749017959819175, 'num_points': 14}]",,3,0.549578897137127,,3,0.28686846803598703
AGGLC,ward,,"[{'avg_silhouette': -0.033617552274872134, 'num_points': 2}, {'avg_silhouette': 0.3533032637021521, 'num_points': 10}, {'avg_silhouette': 0.09766366264779418, 'num_points': 2}, {'avg_silhouette': -0.049806900593415256, 'num_points': 3}, {'avg_silhouette': -0.25842671027347547, 'num_points': 2}, {'avg_silhouette': 0.5293152954508521, 'num_points': 52}, {'avg_silhouette': -0.07671653727525744, 'num_points': 2}, {'avg_silhouette': 0.1491580494344551, 'num_points': 2}, {'avg_silhouette': 0.17630684975534086, 'num_points': 2}, {'avg_silhouette': 0.7020754466346567, 'num_points': 67}, {'avg_silhouette': 0.3772181940118965, 'num_points': 5}, {'avg_silhouette': 0.26264271525571364, 'num_points': 3}, {'avg_silhouette': 0.31826134234409914, 'num_points': 18}, {'avg_silhouette': 1.0, 'num_points': 2}, {'avg_silhouette': 0.9354436919302702, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.3092984976075849, 'num_points': 2}, {'avg_silhouette': 0.25136195771812514, 'num_points': 3}, {'avg_silhouette': 0.09288272723816536, 'num_points': 2}, {'avg_silhouette': 0.35170027606817755, 'num_points': 2}, {'avg_silhouette': 0.3309535855237462, 'num_points': 2}, {'avg_silhouette': 0.011241108791087653, 'num_points': 4}, {'avg_silhouette': 0.254064917112555, 'num_points': 3}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.27787053720464366, 'num_points': 2}, {'avg_silhouette': 0.5341900901293191, 'num_points': 5}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.9295911176978298, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6846300563296965, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6923371348075718, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.39970232478634304, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.1950997766317092, 'num_points': 4}]",,47,0.4596145098268201,,3,0.5165506948098694
AGGLC,ward,,"[{'avg_silhouette': 0.09766366264779418, 'num_points': 2}, {'avg_silhouette': 0.2952385951536571, 'num_points': 5}, {'avg_silhouette': 0.5293152954508521, 'num_points': 52}, {'avg_silhouette': -0.049806900593415256, 'num_points': 3}, {'avg_silhouette': 0.254064917112555, 'num_points': 3}, {'avg_silhouette': 0.26264271525571364, 'num_points': 3}, {'avg_silhouette': -0.07671653727525744, 'num_points': 2}, {'avg_silhouette': 0.1491580494344551, 'num_points': 2}, {'avg_silhouette': 0.17630684975534086, 'num_points': 2}, {'avg_silhouette': 0.7020754466346567, 'num_points': 67}, {'avg_silhouette': -0.001507852080647884, 'num_points': 5}, {'avg_silhouette': 0.27787053720464366, 'num_points': 2}, {'avg_silhouette': 0.31826134234409914, 'num_points': 18}, {'avg_silhouette': 1.0, 'num_points': 2}, {'avg_silhouette': 0.9354436919302702, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.3092984976075849, 'num_points': 2}, {'avg_silhouette': 0.25136195771812514, 'num_points': 3}, {'avg_silhouette': 0.025670597294093725, 'num_points': 2}, {'avg_silhouette': 0.35170027606817755, 'num_points': 2}, {'avg_silhouette': 0.3309535855237462, 'num_points': 2}, {'avg_silhouette': 0.011241108791087653, 'num_points': 4}, {'avg_silhouette': 0.1950997766317092, 'num_points': 4}, {'avg_silhouette': 0.6755826072799731, 'num_points': 5}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.5341900901293191, 'num_points': 5}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.9295911176978298, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6846300563296965, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6923371348075718, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.39970232478634304, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}]",,50,0.4590915626348731,,3,0.5165506948098694
AGGLC,ward,,"[{'avg_silhouette': 0.3533032637021521, 'num_points': 10}, {'avg_silhouette': -0.25842671027347547, 'num_points': 2}, {'avg_silhouette': 0.09766366264779418, 'num_points': 2}, {'avg_silhouette': -0.049806900593415256, 'num_points': 3}, {'avg_silhouette': 0.2952385951536571, 'num_points': 5}, {'avg_silhouette': 0.5293152954508521, 'num_points': 52}, {'avg_silhouette': -0.07671653727525744, 'num_points': 2}, {'avg_silhouette': 0.1491580494344551, 'num_points': 2}, {'avg_silhouette': 0.17630684975534086, 'num_points': 2}, {'avg_silhouette': 0.7020754466346567, 'num_points': 67}, {'avg_silhouette': 0.254064917112555, 'num_points': 3}, {'avg_silhouette': 0.26264271525571364, 'num_points': 3}, {'avg_silhouette': 0.31826134234409914, 'num_points': 18}, {'avg_silhouette': 1.0, 'num_points': 2}, {'avg_silhouette': 0.9354436919302702, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.3092984976075849, 'num_points': 2}, {'avg_silhouette': 0.25136195771812514, 'num_points': 3}, {'avg_silhouette': 0.09288272723816536, 'num_points': 2}, {'avg_silhouette': 0.35170027606817755, 'num_points': 2}, {'avg_silhouette': 0.3309535855237462, 'num_points': 2}, {'avg_silhouette': 0.011241108791087653, 'num_points': 4}, {'avg_silhouette': 0.1950997766317092, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.27787053720464366, 'num_points': 2}, {'avg_silhouette': 0.5341900901293191, 'num_points': 5}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.9295911176978298, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6846300563296965, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6923371348075718, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.39970232478634304, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}]",,48,0.45815636987047353,,3,0.5165506948098694
AGGLC,ward,,"[{'avg_silhouette': -0.25842671027347547, 'num_points': 2}, {'avg_silhouette': 0.2952385951536571, 'num_points': 5}, {'avg_silhouette': 0.09766366264779418, 'num_points': 2}, {'avg_silhouette': -0.049806900593415256, 'num_points': 3}, {'avg_silhouette': 0.254064917112555, 'num_points': 3}, {'avg_silhouette': 0.5293152954508521, 'num_points': 52}, {'avg_silhouette': -0.07671653727525744, 'num_points': 2}, {'avg_silhouette': 0.1491580494344551, 'num_points': 2}, {'avg_silhouette': 0.17630684975534086, 'num_points': 2}, {'avg_silhouette': 0.7020754466346567, 'num_points': 67}, {'avg_silhouette': -0.001507852080647884, 'num_points': 5}, {'avg_silhouette': 0.26264271525571364, 'num_points': 3}, {'avg_silhouette': 0.31826134234409914, 'num_points': 18}, {'avg_silhouette': 1.0, 'num_points': 2}, {'avg_silhouette': 0.9354436919302702, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.3092984976075849, 'num_points': 2}, {'avg_silhouette': 0.25136195771812514, 'num_points': 3}, {'avg_silhouette': 0.025670597294093725, 'num_points': 2}, {'avg_silhouette': 0.35170027606817755, 'num_points': 2}, {'avg_silhouette': 0.3309535855237462, 'num_points': 2}, {'avg_silhouette': 0.011241108791087653, 'num_points': 4}, {'avg_silhouette': 0.1950997766317092, 'num_points': 4}, {'avg_silhouette': 0.6755826072799731, 'num_points': 5}, {'avg_silhouette': 0.27787053720464366, 'num_points': 2}, {'avg_silhouette': 0.5341900901293191, 'num_points': 5}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.9295911176978298, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6846300563296965, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.6923371348075718, 'num_points': 2}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.39970232478634304, 'num_points': 4}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}, {'avg_silhouette': 0.0, 'num_points': 1}]",,49,0.45689218637722656,,3,0.5165506948098694
DBSCAN,,1.2101909579781012,"[{'avg_silhouette': 0.5369843672587461, 'num_points': 198}, {'avg_silhouette': 0.5021424841470881, 'num_points': 5}]",5.0,2,0.44941787089844154,,1,
DBSCAN,,1.2001909579781012,"[{'avg_silhouette': 0.5369843672587461, 'num_points': 198}, {'avg_silhouette': 0.5021424841470881, 'num_points': 5}]",5.0,2,0.44941787089844154,,1,
DBSCAN,,1.1901909579781011,"[{'avg_silhouette': 0.5369843672587461, 'num_points': 198}, {'avg_silhouette': 0.5021424841470881, 'num_points': 5}]",5.0,2,0.44941787089844154,,1,
