algo,linkage,eps,clusters,min_samples,num_clusters,silhouette_score,min_cluster_size,num_representative_clusters,silhouette_score_representative_clusters
AGGLC,ward,,"[{'avg_silhouette': 0.41150743510294807, 'num_points': 244}, {'avg_silhouette': -0.039303665692220977, 'num_points': 58}, {'avg_silhouette': -0.019164860205171337, 'num_points': 61}, {'avg_silhouette': 0.16903356497002692, 'num_points': 158}, {'avg_silhouette': 0.018441716940757254, 'num_points': 155}, {'avg_silhouette': 0.039060457102934105, 'num_points': 120}, {'avg_silhouette': 0.27068359237488904, 'num_points': 56}, {'avg_silhouette': 0.576129952602607, 'num_points': 97}, {'avg_silhouette': 0.007379592718378049, 'num_points': 48}, {'avg_silhouette': -0.08001233579832073, 'num_points': 26}, {'avg_silhouette': 0.44155415263821113, 'num_points': 331}, {'avg_silhouette': 0.33388890596546955, 'num_points': 186}, {'avg_silhouette': 0.8251732310604379, 'num_points': 36}, {'avg_silhouette': 0.46300034189465483, 'num_points': 37}, {'avg_silhouette': 0.5780889873661437, 'num_points': 35}, {'avg_silhouette': 0.37208652851085977, 'num_points': 25}, {'avg_silhouette': 0.2936093890874984, 'num_points': 43}, {'avg_silhouette': 0.42795806047041446, 'num_points': 45}, {'avg_silhouette': -0.08935436927943467, 'num_points': 36}, {'avg_silhouette': 0.46828606039881315, 'num_points': 155}, {'avg_silhouette': 0.10515432594227671, 'num_points': 18}, {'avg_silhouette': -0.022622776809207015, 'num_points': 12}, {'avg_silhouette': 0.4173409680838792, 'num_points': 16}]",,23,0.2976521030765921,,7,0.26882461330273716
AGGLC,ward,,"[{'avg_silhouette': 0.33125202432737605, 'num_points': 186}, {'avg_silhouette': 0.42711506862081816, 'num_points': 331}, {'avg_silhouette': -0.02119907790324293, 'num_points': 60}, {'avg_silhouette': 0.04708673206846975, 'num_points': 38}, {'avg_silhouette': 0.08189273720183987, 'num_points': 133}, {'avg_silhouette': 0.08862247091597986, 'num_points': 41}, {'avg_silhouette': 0.007459348522033086, 'num_points': 15}, {'avg_silhouette': 0.575445254289015, 'num_points': 97}, {'avg_silhouette': 0.11990438129898795, 'num_points': 48}, {'avg_silhouette': -0.08970506487083808, 'num_points': 26}, {'avg_silhouette': 0.14455689314196943, 'num_points': 110}, {'avg_silhouette': -0.01246930592529734, 'num_points': 9}, {'avg_silhouette': 0.3637402711400821, 'num_points': 98}, {'avg_silhouette': -0.08708802540224422, 'num_points': 10}, {'avg_silhouette': 0.25798523792859573, 'num_points': 56}, {'avg_silhouette': 0.3481056037231045, 'num_points': 25}, {'avg_silhouette': 0.2779352090427073, 'num_points': 43}, {'avg_silhouette': 0.41976425599598455, 'num_points': 45}, {'avg_silhouette': 0.1633394129370255, 'num_points': 143}, {'avg_silhouette': 0.4584083886820468, 'num_points': 155}, {'avg_silhouette': 0.06982941281874024, 'num_points': 18}, {'avg_silhouette': -0.03677171663388041, 'num_points': 12}, {'avg_silhouette': 0.4146323755171454, 'num_points': 16}, {'avg_silhouette': 0.24627224366899358, 'num_points': 101}, {'avg_silhouette': -0.024219884747112536, 'num_points': 8}, {'avg_silhouette': 0.8235624592586932, 'num_points': 36}, {'avg_silhouette': 0.01710859330039309, 'num_points': 13}, {'avg_silhouette': 0.46182078433299967, 'num_points': 37}, {'avg_silhouette': 0.2988153826441445, 'num_points': 10}, {'avg_silhouette': 0.5780889873661437, 'num_points': 35}, {'avg_silhouette': 0.02419984767182677, 'num_points': 15}, {'avg_silhouette': 0.08881237190768679, 'num_points': 7}, {'avg_silhouette': 0.4736404157137958, 'num_points': 13}, {'avg_silhouette': 0.022115146143596297, 'num_points': 8}]",,34,0.2932820010980266,,7,0.26469096694001
AGGLC,ward,,"[{'avg_silhouette': -0.14834085268661812, 'num_points': 17}, {'avg_silhouette': 0.42711506862081816, 'num_points': 331}, {'avg_silhouette': 0.33125202432737605, 'num_points': 186}, {'avg_silhouette': 0.04708673206846975, 'num_points': 38}, {'avg_silhouette': 0.08189273720183987, 'num_points': 133}, {'avg_silhouette': -0.02119907790324293, 'num_points': 60}, {'avg_silhouette': 0.007459348522033086, 'num_points': 15}, {'avg_silhouette': 0.575445254289015, 'num_points': 97}, {'avg_silhouette': 0.11990438129898795, 'num_points': 48}, {'avg_silhouette': -0.08970506487083808, 'num_points': 26}, {'avg_silhouette': 0.14455689314196943, 'num_points': 110}, {'avg_silhouette': 0.08862247091597986, 'num_points': 41}, {'avg_silhouette': 0.3637402711400821, 'num_points': 98}, {'avg_silhouette': -0.08708802540224422, 'num_points': 10}, {'avg_silhouette': 0.25798523792859573, 'num_points': 56}, {'avg_silhouette': 0.3481056037231045, 'num_points': 25}, {'avg_silhouette': 0.2779352090427073, 'num_points': 43}, {'avg_silhouette': 0.41976425599598455, 'num_points': 45}, {'avg_silhouette': 0.1633394129370255, 'num_points': 143}, {'avg_silhouette': 0.4584083886820468, 'num_points': 155}, {'avg_silhouette': 0.06982941281874024, 'num_points': 18}, {'avg_silhouette': -0.03677171663388041, 'num_points': 12}, {'avg_silhouette': 0.4146323755171454, 'num_points': 16}, {'avg_silhouette': 0.24627224366899358, 'num_points': 101}, {'avg_silhouette': -0.024219884747112536, 'num_points': 8}, {'avg_silhouette': 0.8235624592586932, 'num_points': 36}, {'avg_silhouette': 0.01710859330039309, 'num_points': 13}, {'avg_silhouette': 0.46182078433299967, 'num_points': 37}, {'avg_silhouette': 0.2988153826441445, 'num_points': 10}, {'avg_silhouette': 0.5780889873661437, 'num_points': 35}, {'avg_silhouette': 0.02419984767182677, 'num_points': 15}, {'avg_silhouette': 0.08881237190768679, 'num_points': 7}, {'avg_silhouette': 0.4736404157137958, 'num_points': 13}]",,33,0.2919874606017835,,7,0.26469096694001
AGGLC,ward,,"[{'avg_silhouette': -0.029638415131473278, 'num_points': 136}, {'avg_silhouette': -0.03903066255242014, 'num_points': 58}, {'avg_silhouette': 0.41159411719498473, 'num_points': 244}, {'avg_silhouette': 0.17026576311808628, 'num_points': 158}, {'avg_silhouette': 0.021013531743722082, 'num_points': 155}, {'avg_silhouette': -0.018926884541796325, 'num_points': 61}, {'avg_silhouette': 0.27147699481604576, 'num_points': 56}, {'avg_silhouette': 0.5763229755552332, 'num_points': 97}, {'avg_silhouette': 0.007379592718378049, 'num_points': 48}, {'avg_silhouette': -0.06894293133988157, 'num_points': 26}, {'avg_silhouette': 0.442698271089124, 'num_points': 331}, {'avg_silhouette': 0.3342994784557277, 'num_points': 186}, {'avg_silhouette': 0.8251732310604379, 'num_points': 36}, {'avg_silhouette': 0.46300034189465483, 'num_points': 37}, {'avg_silhouette': 0.5780889873661437, 'num_points': 35}, {'avg_silhouette': 0.37208652851085977, 'num_points': 25}, {'avg_silhouette': 0.29362087007538934, 'num_points': 43}, {'avg_silhouette': 0.42811790395326516, 'num_points': 45}, {'avg_silhouette': -0.08935436927943467, 'num_points': 36}, {'avg_silhouette': 0.4698406521393511, 'num_points': 155}, {'avg_silhouette': 0.10515432594227671, 'num_points': 18}, {'avg_silhouette': -0.022622776809207015, 'num_points': 12}]",,22,0.29079722883173215,,7,0.2600104855156461
AGGLC,ward,,"[{'avg_silhouette': 0.007445981550216479, 'num_points': 21}, {'avg_silhouette': 0.42711506862081816, 'num_points': 331}, {'avg_silhouette': -0.14834085268661812, 'num_points': 17}, {'avg_silhouette': 0.04708673206846975, 'num_points': 38}, {'avg_silhouette': 0.08189273720183987, 'num_points': 133}, {'avg_silhouette': 0.33125202432737605, 'num_points': 186}, {'avg_silhouette': 0.04020548713158553, 'num_points': 15}, {'avg_silhouette': 0.575445254289015, 'num_points': 97}, {'avg_silhouette': 0.12138070692083737, 'num_points': 48}, {'avg_silhouette': -0.08970506487083808, 'num_points': 26}, {'avg_silhouette': 0.14455689314196943, 'num_points': 110}, {'avg_silhouette': -0.02119907790324293, 'num_points': 60}, {'avg_silhouette': 0.3637402711400821, 'num_points': 98}, {'avg_silhouette': -0.08708802540224422, 'num_points': 10}, {'avg_silhouette': 0.25798523792859573, 'num_points': 56}, {'avg_silhouette': 0.3481056037231045, 'num_points': 25}, {'avg_silhouette': 0.2779352090427073, 'num_points': 43}, {'avg_silhouette': 0.41976425599598455, 'num_points': 45}, {'avg_silhouette': 0.1695169235205585, 'num_points': 143}, {'avg_silhouette': 0.4584083886820468, 'num_points': 155}, {'avg_silhouette': 0.06982941281874024, 'num_points': 18}, {'avg_silhouette': -0.03677171663388041, 'num_points': 12}, {'avg_silhouette': 0.4146323755171454, 'num_points': 16}, {'avg_silhouette': 0.24627224366899358, 'num_points': 101}, {'avg_silhouette': 0.08862247091597986, 'num_points': 41}, {'avg_silhouette': 0.8235624592586932, 'num_points': 36}, {'avg_silhouette': 0.01710859330039309, 'num_points': 13}, {'avg_silhouette': 0.46182078433299967, 'num_points': 37}, {'avg_silhouette': 0.2988153826441445, 'num_points': 10}, {'avg_silhouette': 0.5780889873661437, 'num_points': 35}, {'avg_silhouette': 0.02695021765211472, 'num_points': 15}, {'avg_silhouette': 0.08881237190768679, 'num_points': 7}]",,32,0.2898250454658444,,7,0.26557346845194324
AGGLC,ward,,"[{'avg_silhouette': -0.14804455906974462, 'num_points': 38}, {'avg_silhouette': -0.029638415131473278, 'num_points': 136}, {'avg_silhouette': 0.41159411719498473, 'num_points': 244}, {'avg_silhouette': 0.17026576311808628, 'num_points': 158}, {'avg_silhouette': -0.03903066255242014, 'num_points': 58}, {'avg_silhouette': -0.018926884541796325, 'num_points': 61}, {'avg_silhouette': 0.27147699481604576, 'num_points': 56}, {'avg_silhouette': 0.5763229755552332, 'num_points': 97}, {'avg_silhouette': 0.007379592718378049, 'num_points': 48}, {'avg_silhouette': 0.021013531743722082, 'num_points': 155}, {'avg_silhouette': 0.442698271089124, 'num_points': 331}, {'avg_silhouette': 0.334349535860326, 'num_points': 186}, {'avg_silhouette': 0.8251732310604379, 'num_points': 36}, {'avg_silhouette': 0.46300034189465483, 'num_points': 37}, {'avg_silhouette': 0.5780889873661437, 'num_points': 35}, {'avg_silhouette': 0.37208652851085977, 'num_points': 25}, {'avg_silhouette': 0.29362087007538934, 'num_points': 43}, {'avg_silhouette': 0.42811790395326516, 'num_points': 45}, {'avg_silhouette': -0.08935436927943467, 'num_points': 36}, {'avg_silhouette': 0.4698406521393511, 'num_points': 155}, {'avg_silhouette': 0.10515432594227671, 'num_points': 18}]",,21,0.28901925434181835,,7,0.26001763657344584
AGGLC,ward,,"[{'avg_silhouette': 0.043654470237459136, 'num_points': 140}, {'avg_silhouette': 0.009110960307702119, 'num_points': 21}, {'avg_silhouette': -0.14715075253283827, 'num_points': 17}, {'avg_silhouette': 0.06314416621599332, 'num_points': 38}, {'avg_silhouette': 0.42711506862081816, 'num_points': 331}, {'avg_silhouette': 0.33125202432737605, 'num_points': 186}, {'avg_silhouette': 0.04020548713158553, 'num_points': 15}, {'avg_silhouette': 0.575445254289015, 'num_points': 97}, {'avg_silhouette': 0.12138070692083737, 'num_points': 48}, {'avg_silhouette': -0.08883847125260008, 'num_points': 26}, {'avg_silhouette': 0.14517150093824258, 'num_points': 110}, {'avg_silhouette': -0.01595891315965179, 'num_points': 60}, {'avg_silhouette': 0.3638149550487292, 'num_points': 98}, {'avg_silhouette': -0.08708802540224422, 'num_points': 10}, {'avg_silhouette': 0.25798523792859573, 'num_points': 56}, {'avg_silhouette': 0.3481056037231045, 'num_points': 25}, {'avg_silhouette': 0.27819601433878555, 'num_points': 43}, {'avg_silhouette': 0.41976425599598455, 'num_points': 45}, {'avg_silhouette': 0.1695169235205585, 'num_points': 143}, {'avg_silhouette': 0.4584083886820468, 'num_points': 155}, {'avg_silhouette': 0.07853158902803052, 'num_points': 18}, {'avg_silhouette': -0.034979492271955646, 'num_points': 12}, {'avg_silhouette': 0.4146323755171454, 'num_points': 16}, {'avg_silhouette': 0.24627224366899358, 'num_points': 101}, {'avg_silhouette': 0.08997233599948455, 'num_points': 41}, {'avg_silhouette': 0.8235624592586932, 'num_points': 36}, {'avg_silhouette': 0.01854090280585635, 'num_points': 13}, {'avg_silhouette': 0.46182078433299967, 'num_points': 37}, {'avg_silhouette': 0.3001851864611975, 'num_points': 10}, {'avg_silhouette': 0.5780889873661437, 'num_points': 35}, {'avg_silhouette': 0.03556050559955436, 'num_points': 15}]",,31,0.2878638985572953,,7,0.26019865999935643
DBSCAN,,0.9983123951776993,"[{'avg_silhouette': 0.4210660343348907, 'num_points': 36}, {'avg_silhouette': 0.2696470684490189, 'num_points': 934}, {'avg_silhouette': 0.6479636980184603, 'num_points': 93}, {'avg_silhouette': 0.5297580412448541, 'num_points': 14}, {'avg_silhouette': 0.49941476117321504, 'num_points': 42}, {'avg_silhouette': 0.40574296074474475, 'num_points': 248}, {'avg_silhouette': 0.4421736198141529, 'num_points': 8}, {'avg_silhouette': 0.3933978206125522, 'num_points': 172}, {'avg_silhouette': 0.49394065466810033, 'num_points': 8}, {'avg_silhouette': 0.8320026258902513, 'num_points': 36}, {'avg_silhouette': 0.3354243838787628, 'num_points': 11}, {'avg_silhouette': 0.36530164132436665, 'num_points': 22}, {'avg_silhouette': 0.5737390242786639, 'num_points': 33}, {'avg_silhouette': 0.6102134894065274, 'num_points': 33}, {'avg_silhouette': 0.37269716699727806, 'num_points': 47}, {'avg_silhouette': 0.4231106259111151, 'num_points': 5}, {'avg_silhouette': 0.33693034142157613, 'num_points': 9}, {'avg_silhouette': 0.5033202389528987, 'num_points': 23}]",5.0,18,0.2869812461508464,,3,0.3562626166021053
DBSCAN,,0.9883123951776993,"[{'avg_silhouette': 0.4210660343348907, 'num_points': 36}, {'avg_silhouette': 0.2696470684490189, 'num_points': 934}, {'avg_silhouette': 0.6479636980184603, 'num_points': 93}, {'avg_silhouette': 0.5297580412448541, 'num_points': 14}, {'avg_silhouette': 0.49941476117321504, 'num_points': 42}, {'avg_silhouette': 0.40574296074474475, 'num_points': 248}, {'avg_silhouette': 0.4421736198141529, 'num_points': 8}, {'avg_silhouette': 0.3933978206125522, 'num_points': 172}, {'avg_silhouette': 0.49394065466810033, 'num_points': 8}, {'avg_silhouette': 0.8320026258902513, 'num_points': 36}, {'avg_silhouette': 0.3354243838787628, 'num_points': 11}, {'avg_silhouette': 0.36530164132436665, 'num_points': 22}, {'avg_silhouette': 0.5737390242786639, 'num_points': 33}, {'avg_silhouette': 0.6102134894065274, 'num_points': 33}, {'avg_silhouette': 0.37269716699727806, 'num_points': 47}, {'avg_silhouette': 0.4231106259111151, 'num_points': 5}, {'avg_silhouette': 0.33693034142157613, 'num_points': 9}, {'avg_silhouette': 0.5033202389528987, 'num_points': 23}]",5.0,18,0.2869812461508464,,3,0.3562626166021053
DBSCAN,,0.9783123951776993,"[{'avg_silhouette': 0.43952492740466287, 'num_points': 35}, {'avg_silhouette': 0.26963134103004693, 'num_points': 934}, {'avg_silhouette': 0.6479636980184603, 'num_points': 93}, {'avg_silhouette': 0.5297580412448541, 'num_points': 14}, {'avg_silhouette': 0.49941476117321504, 'num_points': 42}, {'avg_silhouette': 0.40574296074474475, 'num_points': 248}, {'avg_silhouette': 0.4421736198141529, 'num_points': 8}, {'avg_silhouette': 0.3933978206125522, 'num_points': 172}, {'avg_silhouette': 0.49394065466810033, 'num_points': 8}, {'avg_silhouette': 0.8320026258902513, 'num_points': 36}, {'avg_silhouette': 0.3354243838787628, 'num_points': 11}, {'avg_silhouette': 0.36530164132436665, 'num_points': 22}, {'avg_silhouette': 0.5737390242786639, 'num_points': 33}, {'avg_silhouette': 0.6102134894065274, 'num_points': 33}, {'avg_silhouette': 0.37269716699727806, 'num_points': 47}, {'avg_silhouette': 0.4231106259111151, 'num_points': 5}, {'avg_silhouette': 0.33693034142157613, 'num_points': 9}, {'avg_silhouette': 0.5033202389528987, 'num_points': 23}]",5.0,18,0.2868596535726651,,3,0.3562573741291146
